UNI_NUM,BNS_NUM,BNS_SYM,OG_NUM,OG_SYM
65,12.58,C2/m,12.1.66,C2/m
66,12.59,C2/m1',12.2.67,C2/m1'
67,12.60,C2'/m,12.3.68,C2'/m
68,12.61,C2/m',12.4.69,C2/m'
69,12.62,C2'/m',12.5.70,C2'/m'
70,12.63,C_c2/m,12.6.71,C_2c2/m
71,12.64,C_a2/m,10.8.56,P_C2/m
72,13.65,P2/c,13.1.77,P2/c
73,13.66,P2/c1',13.2.78,P2/c1'
74,13.67,P2'/c,13.3.79,P2'/c
75,13.68,P2/c',13.4.80,P2/c'
76,13.69,P2'/c',13.5.81,P2'/c'
77,13.70,P_a2/c,13.6.82,P_2a2/c
78,13.71,P_b2/c,13.7.83,P_2b2/c
79,13.72,P_c2/c,10.10.58,P_2c2/m'
80,13.73,P_A2/c,12.10.75,C_P2/m'
81,13.74,P_C2/c,15.6.97,C_P2/c
82,14.75,P2_1/c,14.1.86,P2_1/c
83,14.76,P2_1/c1',14.2.87,P2_1/c1'
84,14.77,P2_1'/c,14.3.88,P2_1'/c
85,14.78,P2_1/c',14.4.89,P2_1/c'
86,14.79,P2_1'/c',14.5.90,P2_1'/c'
87,14.80,P_a2_1/c,14.6.91,P_2a2_1/c
88,14.81,P_b2_1/c,13.9.85,P_2b2'/c
89,14.82,P_c2_1/c,11.7.65,P_2c2_1/m'
90,14.83,P_A2_1/c,12.11.76,C_P2'/m'
91,14.84,P_C2_1/c,15.7.98,C_P2'/c
92,15.85,C2/c,15.1.92,C2/c
93,15.86,C2/c1',15.2.93,C2/c1'
94,15.87,C2'/c,15.3.94,C2'/c
95,15.88,C2/c',15.4.95,C2/c'
96,15.89,C2'/c',15.5.96,C2'/c'
97,15.90,C_c2/c,12.8.73,C_2c2/m'
98,15.91,C_a2/c,13.8.84,P_C2/c
99,16.1,P222,16.1.99,P222
100,16.2,P2221',16.2.100,P2221'
101,16.3,P2'2'2,16.3.101,P2'2'2
102,16.4,P_a222,16.4.102,P_2a222
103,16.5,P_C222,21.6.134,C_P222
104,16.6,P_I222,23.4.148,I_P222
105,17.7,P222_1,17.1.106,P222_1
106,17.8,P222_11',17.2.107,P222_11'
107,17.9,P2'2'2_1,17.3.108,P2'2'2_1
108,17.10,P22'2_1',17.4.109,P22'2_1'
109,17.11,P_a222_1,17.5.110,P_2a222_1
110,17.12,P_c222_1,16.7.105,P_2c22'2'
111,17.13,P_B222_1,21.10.138,C_P22'2'
112,17.14,P_C222_1,20.5.126,C_P222_1
113,17.15,P_I222_1,24.5.154,I_P2_1'2_1'2_1
114,18.16,P2_12_12,18.1.113,P2_12_12
115,18.17,P2_12_121',18.2.114,P2_12_121'
116,18.18,P2_1'2_1'2,18.3.115,P2_1'2_1'2
117,18.19,P2_12_1'2',18.4.116,P2_12_1'2'
118,18.20,P_b2_12_12,17.7.112,P_2a2'2'2_1
119,18.21,P_c2_12_12,18.5.117,P_2c2_12_12
120,18.22,P_B2_12_12,20.7.128,C_P22'2_1'
121,18.23,P_C2_12_12,21.9.137,C_P2'2'2
122,18.24,P_I2_12_12,23.5.149,I_P2'2'2
123,19.25,P2_12_12_1,19.1.119,P2_12_12_1
124,19.26,P2_12_12_11',19.2.120,P2_12_12_11'
125,19.27,P2_1'2_1'2_1,19.3.121,P2_1'2_1'2_1
126,19.28,P_c2_12_12_1,18.6.118,P_2c2_12_1'2'
127,19.29,P_C2_12_12_1,20.6.127,C_P2'2'2_1
128,19.30,P_I2_12_12_1,24.4.153,I_P2_12_12_1
129,20.31,C222_1,20.1.122,C222_1
130,20.32,C222_11',20.2.123,C222_11'
131,20.33,C2'2'2_1,20.3.124,C2'2'2_1
132,20.34,C22'2_1',20.4.125,C22'2_1'
133,20.35,C_c222_1,21.8.136,C_2c22'2'
134,20.36,C_a222_1,17.6.111,P_C222_1
135,20.37,C_A222_1,22.5.144,F_C22'2'
136,21.38,C222,21.1.129,C222
137,21.39,C2221',21.2.130,C2221'
138,21.40,C2'2'2,21.3.131,C2'2'2
139,21.41,C22'2',21.4.132,C22'2'
140,21.42,C_c222,21.5.133,C_2c222
141,21.43,C_a222,16.5.103,P_C222
142,21.44,C_A222,22.4.143,F_C222
143,22.45,F222,22.1.140,F222
144,22.46,F2221',22.2.141,F2221'
145,22.47,F2'2'2,22.3.142,F2'2'2
146,22.48,F_S222,16.6.104,P_F222
147,23.49,I222,23.1.145,I222
148,23.50,I2221',23.2.146,I2221'
149,23.51,I2'2'2,23.3.147,I2'2'2
150,23.52,I_c222,21.7.135,C_I222
151,24.53,I2_12_12_1,24.1.150,I2_12_12_1
152,24.54,I2_12_12_11',24.2.151,I2_12_12_11'
153,24.55,I2_1'2_1'2_1,24.3.152,I2_1'2_1'2_1
154,24.56,I_c2_12_12_1,21.11.139,C_I2'22'
155,25.57,Pmm2,25.1.155,Pmm2
156,25.58,Pmm21',25.2.156,Pmm21'
157,25.59,Pm'm2',25.3.157,Pm'm2'
158,25.60,Pm'm'2,25.4.158,Pm'm'2
159,25.61,P_cmm2,25.5.159,P_2cmm2
160,25.62,P_amm2,25.6.160,P_2amm2
161,25.63,P_Cmm2,35.6.241,C_Pmm2
162,25.64,P_Amm2,38.7.271,A_Pmm2
163,25.65,P_Imm2,44.5.328,I_Pmm2
164,26.66,Pmc2_1,26.1.168,Pmc2_1
165,26.67,Pmc2_11',26.2.169,Pmc2_11'
166,26.68,Pm'c2_1',26.3.170,Pm'c2_1'
167,26.69,Pmc'2_1',26.4.171,Pmc'2_1'
168,26.70,Pm'c'2_1,26.5.172,Pm'c'2_1
169,26.71,P_amc2_1,26.6.173,P_2amc2_1
170,26.72,P_bmc2_1,26.7.174,P_2bmc2_1
171,26.73,P_cmc2_1,25.10.164,P_2cmm'2'
172,26.74,P_Amc2_1,38.11.275,A_Pmm'2'
173,26.75,P_Bmc2_1,39.10.287,A_Pb'm2'
174,26.76,P_Cmc2_1,36.6.254,C_Pmc2_1
175,26.77,P_Imc2_1,46.8.345,I_Pma'2'
176,27.78,Pcc2,27.1.178,Pcc2
177,27.79,Pcc21',27.2.179,Pcc21'
178,27.80,Pc'c2',27.3.180,Pc'c2'
179,27.81,Pc'c'2,27.4.181,Pc'c'2
180,27.82,P_ccc2,25.11.165,P_2cm'm'2
181,27.83,P_acc2,27.5.182,P_2acc2
182,27.84,P_Ccc2,37.5.262,C_Pcc2
183,27.85,P_Acc2,39.12.289,A_Pb'm'2
